evaluation_id,project_id,category,input_text,expected_record_ids,retrieved_top_5,retrieved_scores,hit_at_1,hit_at_5,first_match_rank,mrr
GE-011,PROJ-001,Requirement Summary,The application should accept user questions through the CLI and return an AI-generated response.,REQ-004;REQ-009,REQ-004;REQ-005;TC-005;TC-008;TC-004,0.6248;0.5582;0.5272;0.5213;0.4783,True,True,1,1.0
GE-012,PROJ-001,Requirement Summary,The agent should classify questions and route them to the appropriate capability.,REQ-007;REQ-008,REQ-008;REQ-007;REQ-012;REQ-004;REQ-006,0.6589;0.6130;0.5526;0.5333;0.5214,True,True,1,1.0
GE-013,PROJ-001,Test Case Generation,Enter a normal general question in the CLI.,TC-005;TC-019,TC-005;TC-008;REQ-005;REQ-004;BUG-004,0.4646;0.3497;0.3276;0.3175;0.3136,True,True,1,1.0
GE-014,PROJ-001,Test Case Generation,Enter an empty or whitespace-only message.,TC-006;TC-007,TC-007;BUG-003;BUG-023,0.4331;0.3067;0.2584,True,True,1,1.0
GE-015,PROJ-001,Defect Triage,The application crashes when the calculator receives an invalid expression.,TC-026;REQ-010,BUG-007;BUG-008;BUG-010;BUG-035;BUG-034,0.5815;0.5774;0.5159;0.4889;0.4570,False,False,,0.0
GE-016,PROJ-001,Defect Triage,The research capability fails when the external search service is unavailable.,TC-036;REQ-012,BUG-011;TC-036;BUG-012;BUG-057;BUG-058,0.6251;0.5047;0.4446;0.4340;0.4277,False,True,2,0.5
GE-017,PROJ-001,Log Analysis,Calculator returned a division-by-zero error.,REQ-010;TC-025,BUG-007;BUG-010;TC-025;BUG-034;BUG-008,0.6398;0.5110;0.5066;0.5057;0.4770,False,True,3,0.3333333333333333
GE-018,PROJ-001,Log Analysis,Web search request failed while retrieving results.,REQ-012;TC-036,BUG-011;BUG-039;TC-036;BUG-012;TC-037,0.5271;0.5221;0.5219;0.4968;0.4704,False,True,3,0.3333333333333333
GE-019,PROJ-001,Release Notes,Release 0.3.0 introduced calculator and datetime capabilities.,REL-003,BUG-007;PROJ-001_REL-006;BUG-008;PROJ-001_REL-007;BUG-010,0.4518;0.4111;0.3986;0.3946;0.3832,False,False,,0.0
GE-020,PROJ-001,Release Notes,Release 0.5.0 improved web research and source references.,REL-005,BUG-055;PROJ-001_REL-009;PROJ-001_REL-008;BUG-012;REQ-015,0.4111;0.4078;0.3594;0.3426;0.3291,False,False,,0.0
GE-021,PROJ-002,Requirement Summary,The application must allow users to upload JPG PNG or WEBP images up to 10 MB.,REQ-017;REQ-018;REQ-019,REQ-018;REQ-017;TC-052;REQ-020;TC-051,0.5482;0.4995;0.4741;0.4599;0.4448,True,True,1,1.0
